Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Wed Apr 07 17:49:08 CST 2021,1617788948,540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:09 CST 2021,1617788949,569000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:10 CST 2021,1617788950,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:11 CST 2021,1617788951,590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:12 CST 2021,1617788952,610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:13 CST 2021,1617788953,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:14 CST 2021,1617788954,670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:15 CST 2021,1617788955,680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:16 CST 2021,1617788956,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:17 CST 2021,1617788957,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:18 CST 2021,1617788958,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:19 CST 2021,1617788959,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:20 CST 2021,1617788960,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:21 CST 2021,1617788961,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:22 CST 2021,1617788962,711000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:23 CST 2021,1617788963,720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:24 CST 2021,1617788964,721000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:25 CST 2021,1617788965,720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:26 CST 2021,1617788966,721000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:27 CST 2021,1617788967,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:28 CST 2021,1617788968,770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:29 CST 2021,1617788969,791000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:30 CST 2021,1617788970,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:31 CST 2021,1617788971,831000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:32 CST 2021,1617788972,871000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:33 CST 2021,1617788973,881000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:34 CST 2021,1617788974,911000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:35 CST 2021,1617788975,921000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:36 CST 2021,1617788976,951000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:37 CST 2021,1617788977,971000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:38 CST 2021,1617788978,981000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
Wed Apr 07 17:49:39 CST 2021,1617788979,991000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,1,0,0,0
