Human Timestamp,Unix Time,Microseconds,Latitude (degrees),Longitude (degrees),Height,Velocity North (m/s),Velocity East (m/s),Velocity Down (m/s),Latitude Standard Deviation (m),Longitude Standard Deviation (m),Height Standard Deviation (m),Tilt (degrees),Heading (degrees),Tilt Standard Deviation (degrees),Heading Standard Deviation (degrees),Fix Type,Doppler Velocity Valid,Time Valid,External GNSS,Tilt Valid,Heading Valid,Floating Heading
Sat Apr 10 16:55:38 CST 2021,1618044938,200203,22.277440600000002,114.1364703,293.20300000000003,-0.001,-0.033,0.20400001,2.2080002,2.2080002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,200203,22.277440600000002,114.1364703,293.20300000000003,-0.001,-0.033,0.20400001,2.2080002,2.2080002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,300203,22.277440600000002,114.1364703,293.204,-0.066,-0.020000001,-0.016,2.1920002,2.1920002,2.5440001,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,300203,22.277440600000002,114.1364703,293.204,-0.066,-0.020000001,-0.016,2.1920002,2.1920002,2.5440001,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,400203,22.277440600000002,114.1364703,293.208,0.05,0.068,-0.010000001,2.16,2.16,2.528,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,400203,22.277440600000002,114.1364703,293.208,0.05,0.068,-0.010000001,2.16,2.16,2.528,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,400203,22.277440600000002,114.1364703,293.208,0.05,0.068,-0.010000001,2.16,2.16,2.528,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,400203,22.277440600000002,114.1364703,293.208,0.05,0.068,-0.010000001,2.16,2.16,2.528,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,600203,22.277440600000002,114.1364703,293.211,0.053000003,0.014,0.027,2.256,2.256,2.608,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,600203,22.277440600000002,114.1364703,293.211,0.053000003,0.014,0.027,2.256,2.256,2.608,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,700203,22.277440600000002,114.1364703,293.209,-0.091000006,0.072000004,-0.035,2.2240002,2.2240002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,700203,22.277440600000002,114.1364703,293.209,-0.091000006,0.072000004,-0.035,2.2240002,2.2240002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,800203,22.277440600000002,114.1364703,293.212,0.061000004,-0.033,-0.135,2.1920002,2.1920002,2.5600002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,800203,22.277440600000002,114.1364703,293.212,0.061000004,-0.033,-0.135,2.1920002,2.1920002,2.5600002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,900203,22.277440600000002,114.1364703,293.21,0.037,0.087000005,0.377,2.16,2.16,2.528,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:38 CST 2021,1618044938,900203,22.277440600000002,114.1364703,293.21,0.037,0.087000005,0.377,2.16,2.16,2.528,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,203,22.277440600000002,114.1364704,293.21,-0.09900001,-0.014,-0.12200001,2.144,2.144,2.512,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,203,22.277440600000002,114.1364704,293.21,-0.09900001,-0.014,-0.12200001,2.144,2.144,2.512,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,203,22.277440600000002,114.1364704,293.21,-0.09900001,-0.014,-0.12200001,2.144,2.144,2.512,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,100203,22.2774407,114.1364703,293.21,0.11100001,-0.037,0.017,2.128,2.128,2.496,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,100203,22.2774407,114.1364703,293.21,0.11100001,-0.037,0.017,2.128,2.128,2.496,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,100203,22.2774407,114.1364703,293.21,0.11100001,-0.037,0.017,2.128,2.128,2.496,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,100203,22.2774407,114.1364703,293.21,0.11100001,-0.037,0.017,2.128,2.128,2.496,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,300202,22.277440600000002,114.1364701,293.206,0.054,-0.029000001,0.127,2.2240002,2.2240002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,300202,22.277440600000002,114.1364701,293.206,0.054,-0.029000001,0.127,2.2240002,2.2240002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,300202,22.277440600000002,114.1364701,293.206,0.054,-0.029000001,0.127,2.2240002,2.2240002,2.5760002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,500202,22.277440499999997,114.13646999999999,293.199,0.045,0.037,0.048,2.3200002,2.3200002,2.6720002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,500202,22.277440499999997,114.13646999999999,293.199,0.045,0.037,0.048,2.3200002,2.3200002,2.6720002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,600202,22.277440499999997,114.1364698,293.193,0.022000002,-0.056,-0.13700001,2.272,2.272,2.624,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,600202,22.277440499999997,114.1364698,293.193,0.022000002,-0.056,-0.13700001,2.272,2.272,2.624,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,600202,22.277440499999997,114.1364698,293.193,0.022000002,-0.056,-0.13700001,2.272,2.272,2.624,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,600202,22.277440499999997,114.1364698,293.193,0.022000002,-0.056,-0.13700001,2.272,2.272,2.624,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,800202,22.2774404,114.13646969999999,293.184,-0.19000001,-0.059000004,0.509,2.368,2.368,2.7040002,0.0,0.0,0.0,0.0,6,1,1,0,0,0,0
