Human Timestamp,Unix Time,Microseconds,Geoid Height (m)
Sat Apr 10 16:55:38 CST 2021,1618044938,679999,-2.2755203
Sat Apr 10 16:55:40 CST 2021,1618044940,680001,-2.2755337
Sat Apr 10 16:55:42 CST 2021,1618044942,679999,-2.2755337
Sat Apr 10 16:55:44 CST 2021,1618044944,679999,-2.2755203
Sat Apr 10 16:55:46 CST 2021,1618044946,690038,-2.2755203
Sat Apr 10 16:55:48 CST 2021,1618044948,750254,-2.2755203
Sat Apr 10 16:55:50 CST 2021,1618044950,784999,-2.2755203
Sat Apr 10 16:55:52 CST 2021,1618044952,819999,-2.2755203
Sat Apr 10 16:55:54 CST 2021,1618044954,885001,-2.2755203
Sat Apr 10 16:55:56 CST 2021,1618044956,910007,-2.2755203
Sat Apr 10 16:55:58 CST 2021,1618044958,960202,-2.2755203
Sat Apr 10 16:56:01 CST 2021,1618044961,11,-2.2755203
Sat Apr 10 16:56:03 CST 2021,1618044963,50006,-2.2755203
Sat Apr 10 16:56:05 CST 2021,1618044965,85000,-2.2755203
Sat Apr 10 16:56:07 CST 2021,1618044967,130001,-2.2755203
Sat Apr 10 16:56:09 CST 2021,1618044969,135148,-2.2755477
Sat Apr 10 16:56:11 CST 2021,1618044971,125287,-2.2755203
Sat Apr 10 16:56:13 CST 2021,1618044973,129999,-2.2755203
Sat Apr 10 16:56:15 CST 2021,1618044975,125002,-2.2755203
Sat Apr 10 16:56:17 CST 2021,1618044977,130002,-2.2755203
Sat Apr 10 16:56:19 CST 2021,1618044979,180000,-2.2755203
Sat Apr 10 16:56:21 CST 2021,1618044981,215182,-2.2755203
Sat Apr 10 16:56:23 CST 2021,1618044983,270001,-2.2755203
Sat Apr 10 16:56:25 CST 2021,1618044985,304998,-2.2755203
Sat Apr 10 16:56:27 CST 2021,1618044987,345002,-2.2755203
Sat Apr 10 16:56:29 CST 2021,1618044989,390003,-2.2755203
Sat Apr 10 16:56:31 CST 2021,1618044991,410173,-2.2755203
Sat Apr 10 16:56:33 CST 2021,1618044993,410013,-2.2755203
Sat Apr 10 16:56:35 CST 2021,1618044995,410001,-2.2755477
Sat Apr 10 16:56:37 CST 2021,1618044997,409999,-2.2755477
Sat Apr 10 16:56:39 CST 2021,1618044999,409999,-2.2755203
Sat Apr 10 16:56:41 CST 2021,1618045001,445057,-2.2755203
Sat Apr 10 16:56:43 CST 2021,1618045003,495243,-2.2755203
